[0104/142219:ERROR:process_reader_win.cc(142)] SuspendThread: Access is denied. (0x5)
[0104/142219:ERROR:process_reader_win.cc(142)] SuspendThread: Access is denied. (0x5)
[0104/142219:ERROR:process_reader_win.cc(114)] NtOpenThread: {Access Denied} A process has requested access to an object, but has not been granted those access rights.  (0xc0000022)
[0104/142219:ERROR:exception_snapshot_win.cc(87)] thread ID 7496 not found in process
[0104/142219:WARNING:crash_report_exception_handler.cc(61)] ProcessSnapshotWin::Initialize failed
[0216/214753.642:ERROR:crash_report_database_win.cc(426)] unexpected header
[0216/214812.312:ERROR:crash_report_database_win.cc(426)] unexpected header
[0216/215120.131:ERROR:crash_report_database_win.cc(426)] unexpected header
[0216/215140.791:ERROR:crash_report_database_win.cc(426)] unexpected header
[0217/213627.225:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/110850.769:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/110947.920:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/111017.462:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/111223.051:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/180617.859:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/180733.612:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/180857.111:ERROR:crash_report_database_win.cc(426)] unexpected header
[0218/181426.086:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/005050.269:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/005100.134:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/005143.618:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/005247.381:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/005906.969:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/010111.694:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/010123.843:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/010405.304:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/010511.092:ERROR:crash_report_database_win.cc(426)] unexpected header
[0219/010702.689:ERROR:crash_report_database_win.cc(426)] unexpected header
